Organization Name,Founders,Founding Date,Closing Date,Industry,Funding,HQ Location,Employees,About/Description,Slug,Crunchbase Img
Valocor ,Julia Levy ,2008,2010,biotechnology ,1 investor ,"Vancouver, British Columbia, Canada",1-10,"Valocor Therapeutics, Inc., a clinical stage biotech company, develops new therapies to treat dermatological conditions with unmet medical",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1496300181/vxpnjqhxavmdgwvfqud9.png"
Hubba,Ben Zifkin,Jan 2011,Feb 2021,"B2B, brand marketing, E-commerce, machine learning, SaaS, software",61.4M,"Toronto, Ontario, Canada",11-50,Hubba is a software company that uses a combination of machine learning and personal curation to match brands with buyers.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397196315/ead6a7a33ab2a6a7ea53f1bc7eb11dee.png"
Wattage,"Brett Hagman, Jeremy Bell, Peter Nitsch",2014,"Mar 5, 2015","3D printing, consumer electronics, software, e-commerce",200K,"Toronto, Ontario, Canada",51-100,An online platform that makes creating hardware easy.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1410774118/grjyolhltgr2zlley8li.jpg"
Millennial Esports,Alex Igelman,2011,2019,"broadcasting, eSports, sports, video games",19.5M,"Toronto, Ontario, Canada",11-50,Millennial Esports is a vertically integrated mobile gaming publisher that provides solutions related to gaming technology.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1493293527/dpsb5qtratbksqvdenvm.png"
Control Mobile,Kathryn Loewen,"May 5, 2014",,"apps, e-commerce, IT, fintech, SaaS, software",1.2M,"Vancouver, British Columbia, Canada",11-50,"Control Mobile offers payment analytics and alerts platform for SaaS, subscription, and commerce businesses.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/mik0uthen0qorm358z0q"
Bex,Jesse Heaslip,2011,,"accounting, bitcoin, software",1.1M,"Vancouver, British Columbia, Canada",1-10,Bex.io develops a global network to proliferate white label bitcoin exchanges.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/peashktilocxehbsnjzl"
Wantoo,,2015,,"apps, internet, software ",500K,"Vancouver, British Columbia, Canada",1-10,"Wantoo offers a cloud-based platform that enables businesses to capture, analyze, and act on feedback provided by their team or customers.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1447131751/irkbwhc9irsjn9xssgur.png"
KarmaHire,"James Clift, Thomas Zhou",2011,,"employment, HR, software",155K,"Vancouver, British Columbia, Canada",11-50,KarmaHire is an online recruitment platform providing companies with a complete software suite to help them hire employees faster.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397183926/801966236674056044ffdac4b0431d15.png"
Sqwrl Collective Inc.,"Josh Perrin, Marc d'Entremont, Wayne Guilderson","Mar 1, 2012",2015,"e-commerce, online portals",200K,"Vancouver, British Columbia, Canada",1-10,"Sqwrl is a Vancouver-based technology startup, connecting collectors with collectibles by developing a comprehensive online solution for everything collectible.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1418703566/a8xmscf3taojgotk80yh.png"
Firebird,"Alexander Somjen, Colin J.E. Lupton, Jonathan Holtby, Stephen Lee","Jan 1, 2015","Aug 31, 2016","AI, IT, quantum computing, machine learning, software",65K,"Toronto, Ontario, Canada",1-10,"Firebird is a quantum machine intelligence company, building machine learning software for the most advanced computers on the planet.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1430340235/nphriy3ncvztghfae80x.png"
RAUR,"Dima Yashkir, Kevin Kliman, Ryan Renna","Oct 1, 2012","Oct 19, 2015","audio, mobile, news, real time",300K,"Toronto, Ontario, Canada",1-10,RAUR is a web-based social publishing platform for podcasts.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397181976/427fa154da4e72ba4dd5753ae7f582f5.png"
Hyperblock Technologies Corp.,,2017,2019,"blockchain, cryptocurrency",509.4K,"Toronto, Ontario, Canada",1-10,Hyperblock Technologies Corp. operates as a cryptocurrency mining company.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ozgpzm7rjkkzx13tqjvs"
Quid,"Kevin McCall, Mohit Cheppudira",Sep 2010,"Mar 30, 2020","blockchain, fintech, cloud computing",1.8M,"Toronto, Ontario, Canada",1-10,QUID is a micropayment processor that makes it easy to accept online payments as small as a fraction of a penny.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/hnw2ctawkgcjkepzjpgw"
Koronis,,2013,"Apr 23, 2016","medical software, health care",,"Winnipeg, Manitoba, Canada",1-10,MedLinx is designed to capture the nearly 70 per cent of hospital-patient information that currently is not recorded in the patient files.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1453443275/ey33fv1sze4gz3e9ue3z.png"
IDYIA Innovations,,,,,,,,,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1493356769/vrzzcn1gqxev3ymblzef.png"
"Anki, Inc","Boris Sofman, Mark Palatucci, and Hanns Tappeiner","Jan 5, 2010","Apr 1, 2019","Robotics, Artificial Intelligence,  Consumer Electronics, Machine Learning ",259.5M,"San Francisco, California, United States  ",,"Anki was a robotics and artificial intelligence startup that put robotics technology in products for children. Anki programmed physical objects to be intelligent and adaptable in the physical world, and aimed to solve the problems of positioning, reasoning, and execution in artificial intelligence and robotics. ",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/myadbdbjck3slpi2lwh0"
DriverUp Corp.,"Brett Beebe, Sam Ellis",2012,2019,"Business Development, Financial Services, FinTech, Lending, Marketplace",70M,"Dallas, Texas, United States",11-50,DriverUp is the first online auto lending marketplace for accredited investors.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1424711035/sxcmru6ozx2sj0dsrfly.png"
Kahuna Inc.,"Adam Marchick, Jacob Taylor",2011,"Jan 10, 2019","Analytics, Classifieds, E-Commerce, Marketing Automation, Marketplace, Mobile, Software",64.4M,"Redwood City, California, United States",51-100,Kahuna helps the world's leading digital marketplace brands deliver highly personalized experiences to every buyer and seller,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1421432487/fq4nq7ubvtiqnk6j7yad.png"
Arivale ,"Clayton Lewis, Leroy Hood, Nathan Price",2014,"May 21, 2019","Fitness, Health Care, Wellness",52.6M,"Seattle, Washington, United States",11-50,Arivale provides individuals a scientific path to optimize wellness and avoid disease for a life filled with joyful moments.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1436334084/cwrho1y88fzckb8wg8sw.png"
Amiloom,Anders Hsi,Dec 1,October 1 2014,"Health care, Information technology, software",,"San Francisco, California, United States  ",1-10,Device forms network of people with common friends,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1459928285/y8pwypmsiefnua9g9eb3.png"
Backfence ,Mark Potts,January 1 2004,July 1 2007,"Communities, Internet, web hosting",3M,"Mclean, Virginia, United States",11-50,create hyper-local community sites,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1498900695/f94m4zasparxwzz2yd7k.png"
Yik Yak,"Brooks Buffington, Tyler Droll, Will Jamieson",October 10 2013,May 2017,"Apps, Social media, social network",75M,"Atlanta, Georgia, United States",11-50,Yik Yak is a location-based social network that helps people discover their local community,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1455559319/kidfmw7mf4citirwzu6r.png"
Gumroad,Sahil Lavingia,January 1 2011,January 1 2019,"Content, Creative Agency, E-commerce",8.1M,"San Francisco, California, United States  ",11-50,Owns and operates an online service through which users can buy and sell digital goods such as design templates and source codes.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397181886/8a2fc460fe7d0202aabecc4db218aae3.png"
Juicero,Doug Evans,Jan 1 2013,September 1 2017,"Food and Beverage, Nutrition, Organic Food",118.5M,"San Francisco, California, United States  ",101-250,Inventor of the first home cold-pressed juicing system,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1484684110/uv91ikhqvlcmicb9oq4y.png"
Next Step Living,Geoff Chapin,March 1 2008,March 19 2016,"Energy, Energy Efficiency, Home Renovation, Renewable Energy",88.6M,"Boston, Massachusetts, United States",101-250,Provides home energy evaluations and solutions for individuals and organizations,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1398687615/vb2jpnnyowlxadjrpcar.jpg"
Shyp ,"Jack Smith, Joshua Scott, Kevin Gibbon",July 1 2013,March 27 2018,"Shipping, Delivery, Logistics, Shipping and fulfilment",62.1M,"San Francisco, California, United States",11-50,Provides shipping services that ranges from picking-up the package to delivering it to the destination.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1446139724/qc4qfcojjdiiqwiewzyl.png"
